id,HK1,HK10,HK11,HK12,HK13,HK14,HK15,HK16,HK17,HK18,HK19,HK2,HK20,HK21,HK22,HK23,HK24,HK25,HK27,HK28,HK29,HK3,HK30,HK31,HK32,HK33,HK34,HK35,HK36,HK37,HK38,HK39,HK4,HK40,HK41,HK42,HK43,HK44,HK45,HK46,HK47,HK48,HK49,HK5,HK50,HK51,HK52,HK53,HK54,HK55,HK56,HK57,HK58,HK59,HK6,HK61,HK62,HK63,HK64,HK65,HK66,HK67,HK68,HK69,HK7,HK70,HK71,HK72,HK73,HK74,HK75,HK76,HK77,HK78,HK79,HK8,HK80,HK81,HK82,HK83,HK84,HK85,HK86,HK87,HK88,HK89,HK9,HK90
7a8d3fc0fab2cd1fe14f4867ba0b5d79,14,0,0,0,0,0,0,215,1365,87,0,1476,35,0,0,6,0,63,122,0,0,838,3,0,0,0,0,0,0,56,9,6,2944,33,0,0,0,0,0,20,6,0,0,0,0,0,0,0,0,59,60,1103,3,0,13,1398,0,20782,3613,539,385,6336,169,17234,0,5172,121,564,1075,4422,0,1250,0,0,201,0,258,0,271,7,2195,8,52,157,15,1281,0,371
8f5863f2215107e6996a2f00c37b4db1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,32,20,17,0,0,8,0,0,0,0,0,0,133,0,0,0,0,17,0,0,0,15,0,0,0,0,0,14,10,0
f95ab8d32dc0d4057a0243574f9cfa38,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,243,0,172,38,8,0,0,0,0,0,10,9,76,63,78,18,29,72,0,33,146,97,0,55,0,21,61,0,0,0,11
5e6793f2e45dd56ea765ffd12384307a,1998,424,1901,722,0,0,0,93,123,172,46,3418,10,9,0,302,0,0,0,0,0,4701,0,0,0,0,0,0,0,317,362,88,18,425,986,0,0,19,26,0,39,0,0,19,0,0,0,0,0,2790,3567,1551,3721,219,474,527,887,4145,2046,4144,2440,2352,4426,10952,1251,8950,4660,2367,1195,438,157,0,1501,487,503,0,0,321,0,104,830,0,5,0,3,869,0,1986
70123123ad7e7dc6aba2267f10614bfc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
6a95c8b1d073afa3658bd3efc9801f9b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,47,0,0,0,0,0,461,0,1818,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,318,0,3565,0,0,221,0,0,0
885b9305c062365e3f6e0ba33b4c097d,25,54,87,71,4,0,0,1255,2707,5207,332,56,1947,993,2987,5803,2704,1254,92,51,108,18,90,132,185,402,0,0,0,52,41,176,0,405,486,24,33,78,79,127,73,108,73,0,112,882,0,49,12,207,61,167,76,10,11,1225,54,1399,112,5,24,4,9,125,9,3,5,5,842,108,268,879,1342,1450,90,0,56,2401,763,181,376,8,625,1910,82,125,0,396
ebcc40d5e025bdcb66fe5bfbc180536a,4524,11786,9,1871,766,548,7,5312,12202,12556,17423,110,1358,29842,12077,44724,3,11722,18330,23,0,50,3582,3942,21176,0,6,7,31319,47983,11679,14488,12,36380,11187,0,13131,6239,9943,35609,22592,28234,4350,877,8690,9078,0,0,25,95301,102257,136333,65,24509,713,30765,21492,24467,24478,10134,17188,5438,65701,55835,22,31488,33414,66377,24855,76451,305,37513,88527,65886,45751,11,19754,33301,70713,112946,454,8386,97664,56928,552,102519,0,142390
e90b77d99635e55c00d041693d80705f,1672,60,430,11,9,97,287,64,0,0,188,2761,4,14,64,0,0,24,0,0,0,621,0,0,0,0,0,0,0,113,168,19,126,0,0,0,29,6,0,27,36,0,0,139,0,0,0,0,0,10,0,70,491,354,133,195,0,660,127,223,931,615,501,1271,1815,241,4992,762,0,0,65,0,0,0,0,232,0,0,0,15,0,0,0,0,0,136,0,35
423ed2a470d7c1a3ee1762aaa08976c5,3,2,0,0,0,0,0,0,0,0,0,16,0,0,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,4,6,0,0,25,0,0,0,0,0,0,0,0,2,9,11,0,3,2,0,0,0,0,0,8,0,0,12,4,0,0,0,0,0,0,0,0,0,0,5,0,0,11,6,0,14,0,0,0
1379f2369e60562ae61538e31ac4a3ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,3061,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
778245f03dc7cc18ef4d4a1d5149eefb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0
bd349500af52c85e9166237153afc69a,986,0,0,54,0,0,0,0,0,0,65,58,137,0,0,14,35,779,21,0,0,0,0,0,0,0,0,0,0,59,284,0,0,0,0,0,0,0,5,286,895,553,0,60,0,0,0,0,41,94,1065,4,328,0,216,0,0,150,0,0,0,0,0,0,0,0,0,0,102,6,12,13,45,1520,416,0,60,3,5092,276,3802,440,2382,994,773,0,0,8
850053777e938283887fbf46a5e78922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0
06e11976af81bef7d91e1ca318309f10,2541,284,621,632,0,0,3,235,785,339,725,23008,325,543,651,608,969,402,90,0,3,29171,0,0,0,0,0,5,0,631,372,798,4590,1786,670,301,75,55,375,235,1157,1027,0,6147,0,0,0,261,393,614,371,691,2147,1281,23399,1919,2872,6118,4702,1197,6320,496,548,2917,1041,280,2506,621,3337,5970,5487,2997,7606,4745,8345,15,471,6343,2817,2301,4856,19,6022,192,694,235,0,105
22881948c319a8691c7ddcce50bfeeb2,0,0,0,0,0,0,0,0,0,0,47,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,47,704,0,360,0,164,2141,0,0,378,0,111,0,0,0,316,0,0,0,1655
82362a41a7715fb87d7769c140973265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d5d6cf4818c7c9bc724b57cb6453f8da,0,0,0,0,0,35,55,6,0,0,0,0,0,0,0,315,803,728,0,0,0,0,0,320,370,146,0,0,0,0,2,0,0,0,0,0,4873,6654,265,13,280,195,53,0,54,64,0,4,0,195,0,0,63,4846,0,2818,578,274,9,306,4,343,0,160,0,372,59,15,26260,16301,1277,18123,23398,1484,56,0,1915,15045,1992,985,20709,7982,423,2489,7094,521,0,503
131950137eca8505044396e7a1e8561f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461dbbcfa924d52a913863c918c3ac38,2,0,2,0,0,0,0,0,0,0,0,0,0,0,26,24,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,2,0,0,0,3,0,8,0,0,4,0,0,2,20,0,0,0,0,0,0,0,2,0,0,0,2,16,0,0,4,2
54a33986e5f9179ebad3964480b9d790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e331fcf666203911f6ef344a28dd186c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0
88cfb31992f3209e6771c389bae3a0b8,0,0,0,0,0,0,0,0,17,68,995,0,289,61,2795,422,188,744,423,0,0,0,0,0,0,0,0,0,0,373,4,0,224,0,0,694,139,400,1377,145,161,783,0,27,0,0,0,0,10,11305,11215,0,2618,0,1297,0,1753,6354,1267,520,3742,0,1017,393,0,3724,348,5630,9908,6,5,0,0,359,694,0,0,0,204,0,0,0,0,29,0,2474,0,590
52b14c9808ec3bcfde5b456209f29165,87,196,0,0,0,0,0,42,205,591,278,0,0,146,0,437,0,217,223,0,0,0,23,0,0,0,0,0,20,131,28,0,0,167,9,0,19,11,348,301,398,104,101,6,0,0,0,0,0,1007,1452,3408,0,904,0,150,784,259,226,239,581,0,2259,2248,0,771,26,370,524,3571,0,864,1012,1249,1505,0,79,2543,3165,3028,0,256,3042,57,0,1826,0,1918
8ec4d36d34f2473ed49889c091dc13c0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,56,0,0,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
f39502c4cd0abeffb3d3cd5b0880f886,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,2,30,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
23595d5b7f24efcab6a19d07783b3572,0,0,0,0,0,0,0,0,0,0,88,8,0,0,142,8,35,8,5,0,0,2,0,0,0,0,0,0,0,0,11,8,0,1101,274,236,22,536,632,516,314,245,0,0,0,0,0,0,0,1082,190,63,71,154,0,0,0,4,23,0,0,0,0,19,0,3,17,16,19,90,0,0,195,557,49,0,0,117,193,38,556,34,80,37,0,27,0,69
32647683a837942227bc4552fe41afdb,126,30,0,0,0,0,0,169,0,340,148,0,0,76,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,25,0,137,0,0,0,0,256,52,216,0,0,0,1757,0,51,25,0,0,0,641,64,0,21,0,0,114,0,0,772,969,464,35,0,0,299,639,829,0,99,583,0,0,1546,0,1370
1f2a9eb12b0ae5eca5345919c72546a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,14,0,0,0,0,0,0,41,0,0,0,256,2,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6d0ac31e73c861db258eb957f2118f8a,0,0,0,0,0,0,0,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3133,8217,3759,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
